id,clave,name
cfd_mx_traslado.cartaporte_clavestcc_01,01,Productos agrícolas
cfd_mx_traslado.cartaporte_clavestcc_011,011,Cultivos de campo
cfd_mx_traslado.cartaporte_clavestcc_0112,0112,Algodón en bruto
cfd_mx_traslado.cartaporte_clavestcc_01131,01131,Cebada
cfd_mx_traslado.cartaporte_clavestcc_01132,01132,Maíz
cfd_mx_traslado.cartaporte_clavestcc_01133,01133,Avena
cfd_mx_traslado.cartaporte_clavestcc_01134,01134,Arroz
cfd_mx_traslado.cartaporte_clavestcc_01135,01135,Centeno
cfd_mx_traslado.cartaporte_clavestcc_01136,01136,Sorgo
cfd_mx_traslado.cartaporte_clavestcc_01137,01137,Trigo
cfd_mx_traslado.cartaporte_clavestcc_01139,01139,Grano
cfd_mx_traslado.cartaporte_clavestcc_0114,0114,"Semillas oleaginosas, nueces y granos"
cfd_mx_traslado.cartaporte_clavestcc_01144,01144,Soja
cfd_mx_traslado.cartaporte_clavestcc_0115,0115,Semillas de campo excluidas semillas oleaginosas
cfd_mx_traslado.cartaporte_clavestcc_0119,0119,Cultivos de campo misceláneos
cfd_mx_traslado.cartaporte_clavestcc_01193,01193,Tabaco de hoja
cfd_mx_traslado.cartaporte_clavestcc_01195,01195,Patatas distintas de las dulces
cfd_mx_traslado.cartaporte_clavestcc_01197,01197,Remolacha azucarera
cfd_mx_traslado.cartaporte_clavestcc_012,012,Frutas frescas y nueces de árbol
cfd_mx_traslado.cartaporte_clavestcc_0121,0121,Frutas cítricas
cfd_mx_traslado.cartaporte_clavestcc_0122,0122,Frutos caducifolios
cfd_mx_traslado.cartaporte_clavestcc_01221,01221,Manzanas
cfd_mx_traslado.cartaporte_clavestcc_01224,01224,Uvas
cfd_mx_traslado.cartaporte_clavestcc_01226,01226,Melocotones
cfd_mx_traslado.cartaporte_clavestcc_0123,0123,Frutas tropicales excluidos cítricos
cfd_mx_traslado.cartaporte_clavestcc_01232,01232,Plátanos
cfd_mx_traslado.cartaporte_clavestcc_0129,0129,Varias frutas frescas y nueces
cfd_mx_traslado.cartaporte_clavestcc_01295,01295,Café verde
cfd_mx_traslado.cartaporte_clavestcc_013,013,Vegetales frescos
cfd_mx_traslado.cartaporte_clavestcc_0131,0131,"Bulbos, raíces y tubérculos"
cfd_mx_traslado.cartaporte_clavestcc_01318,01318,Cebollas secas
cfd_mx_traslado.cartaporte_clavestcc_0133,0133,Verduras frescas de hoja
cfd_mx_traslado.cartaporte_clavestcc_01334,01334,Apio
cfd_mx_traslado.cartaporte_clavestcc_01335,01335,Lechuga
cfd_mx_traslado.cartaporte_clavestcc_0134,0134,"Semillas de verduras maduras secas, etc."
cfd_mx_traslado.cartaporte_clavestcc_01341,01341,Frijoles maduros secos
cfd_mx_traslado.cartaporte_clavestcc_01342,01342,Guisantes secos
cfd_mx_traslado.cartaporte_clavestcc_0139,0139,Verduras frescas varias
cfd_mx_traslado.cartaporte_clavestcc_01392,01392,Sandías
cfd_mx_traslado.cartaporte_clavestcc_01394,01394,Tomates
