id,clave,name,nacionalidad,designador_iata,linea_ferrea,clavetransporte_id/id
cfd_mx_traslado.cartaporte_estaciones_PM001,PM001,Rosarito,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM002,PM002,La Misión,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM003,PM003,El Sauzal,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM004,PM004,Marina Coral,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM005,PM005,Ensenada,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM006,PM006,Punta China,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM007,PM007,San Quintín,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM008,PM008,Isla Cedros,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM009,PM009,Venustiano Carranza,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM010,PM010,Bahía de los Ángeles,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM011,PM011,Puertecitos,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM012,PM012,San Felipe,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM013,PM013,Costa Azul,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM014,PM014,Bahía Colonet,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM015,PM015,La Paz,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM016,PM016,Pichilingue,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM017,PM017,Puerto de Loreto,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM018,PM018,Puerto de Santa Rosalía,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM019,PM019,Puerto Escondido,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM020,PM020,San Carlos,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM021,PM021,Cabo San Lucas,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM022,PM022,Guerrero Negro,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM023,PM023,Santa María,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM024,PM024,Isla San Marcos,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM025,PM025,Adolfo López Mateos,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM026,PM026,San Juan de la Costa,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM027,PM027,Punta prieta,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM028,PM028,San José del Cabo,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM029,PM029,Los Barriles,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM030,PM030,Mulege,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM031,PM031,Isla del Carmen,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM032,PM032,Campeche,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM033,PM033,Cayo Arcas,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM034,PM034,Seybaplaya,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM035,PM035,Isla Arena,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM036,PM036,San Francisco,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM037,PM037,Lerma,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM038,PM038,Champotón,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM039,PM039,Sabancuy,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM040,PM040,Isla Aguada,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM041,PM041,Emiliano Zapata,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM042,PM042,Nuevo Campechito,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM043,PM043,Takuntah,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM044,PM044,Yúum K'ak Naab,México,,,cartaporte_clavetransporte_02
