id,clave,name
cfd_mx_traslado.cartaporte_subtiporemolque_CTR001,CTR001,Caballete
cfd_mx_traslado.cartaporte_subtiporemolque_CTR002,CTR002,Caja
cfd_mx_traslado.cartaporte_subtiporemolque_CTR003,CTR003,Caja Abierta
cfd_mx_traslado.cartaporte_subtiporemolque_CTR004,CTR004,Caja Cerrada
cfd_mx_traslado.cartaporte_subtiporemolque_CTR005,CTR005,Caja De Recolección Con Cargador Frontal
cfd_mx_traslado.cartaporte_subtiporemolque_CTR006,CTR006,Caja Refrigerada
cfd_mx_traslado.cartaporte_subtiporemolque_CTR007,CTR007,Caja Seca
cfd_mx_traslado.cartaporte_subtiporemolque_CTR008,CTR008,Caja Transferencia
cfd_mx_traslado.cartaporte_subtiporemolque_CTR009,CTR009,Cama Baja o Cuello Ganso
cfd_mx_traslado.cartaporte_subtiporemolque_CTR010,CTR010,Chasis Portacontenedor
cfd_mx_traslado.cartaporte_subtiporemolque_CTR011,CTR011,Convencional De Chasis
cfd_mx_traslado.cartaporte_subtiporemolque_CTR012,CTR012,Equipo Especial
cfd_mx_traslado.cartaporte_subtiporemolque_CTR013,CTR013,Estacas
cfd_mx_traslado.cartaporte_subtiporemolque_CTR014,CTR014,Góndola Madrina
cfd_mx_traslado.cartaporte_subtiporemolque_CTR015,CTR015,Grúa Industrial
cfd_mx_traslado.cartaporte_subtiporemolque_CTR016,CTR016,Grúa 
cfd_mx_traslado.cartaporte_subtiporemolque_CTR017,CTR017,Integral
cfd_mx_traslado.cartaporte_subtiporemolque_CTR018,CTR018,Jaula
cfd_mx_traslado.cartaporte_subtiporemolque_CTR019,CTR019,Media Redila
cfd_mx_traslado.cartaporte_subtiporemolque_CTR020,CTR020,Pallet o Celdillas
cfd_mx_traslado.cartaporte_subtiporemolque_CTR021,CTR021,Plataforma
cfd_mx_traslado.cartaporte_subtiporemolque_CTR022,CTR022,Plataforma Con Grúa
cfd_mx_traslado.cartaporte_subtiporemolque_CTR023,CTR023,Plataforma Encortinada
cfd_mx_traslado.cartaporte_subtiporemolque_CTR024,CTR024,Redilas
cfd_mx_traslado.cartaporte_subtiporemolque_CTR025,CTR025,Refrigerador
cfd_mx_traslado.cartaporte_subtiporemolque_CTR026,CTR026,Revolvedora
cfd_mx_traslado.cartaporte_subtiporemolque_CTR027,CTR027,Semicaja
cfd_mx_traslado.cartaporte_subtiporemolque_CTR028,CTR028,Tanque
cfd_mx_traslado.cartaporte_subtiporemolque_CTR029,CTR029,Tolva
cfd_mx_traslado.cartaporte_subtiporemolque_CTR030,CTR030,Tractor
cfd_mx_traslado.cartaporte_subtiporemolque_CTR031,CTR031,Volteo
cfd_mx_traslado.cartaporte_subtiporemolque_CTR032,CTR032,Volteo Desmontable
