id,clave,name
cfd_mx_traslado.cartaporte_tipopermiso_TPAF01,TPAF01,Autotransporte Federal de carga general.
cfd_mx_traslado.cartaporte_tipopermiso_TPAF02,TPAF02,Transporte privado de carga.
cfd_mx_traslado.cartaporte_tipopermiso_TPAF03,TPAF03,Autotransporte Federal de Carga Especializada de materiales y residuos peligrosos.
cfd_mx_traslado.cartaporte_tipopermiso_TPAF04,TPAF04,Transporte de automóviles sin rodar en vehículo tipo góndola.
cfd_mx_traslado.cartaporte_tipopermiso_TPAF05,TPAF05,Transporte de carga de gran peso y/o volumen de hasta 90 toneladas.
cfd_mx_traslado.cartaporte_tipopermiso_TPAF06,TPAF06,Transporte de carga especializada de gran peso y/o volumen de más 90 toneladas.
cfd_mx_traslado.cartaporte_tipopermiso_TPAF07,TPAF07,Transporte Privado de materiales y residuos peligrosos.
cfd_mx_traslado.cartaporte_tipopermiso_TPAF08,TPAF08,Autotransporte internacional de carga de largo recorrido.
cfd_mx_traslado.cartaporte_tipopermiso_TPAF09,TPAF09,Autotransporte internacional de carga especializada de materiales y residuos peligrosos de largo recorrido.
cfd_mx_traslado.cartaporte_tipopermiso_TPAF10,TPAF10,Autotransporte Federal de Carga General cuyo ámbito de aplicación comprende la franja fronteriza con Estados Unidos.
cfd_mx_traslado.cartaporte_tipopermiso_TPAF11,TPAF11,Autotransporte Federal de Carga Especializada cuyo ámbito de aplicación comprende la franja fronteriza con Estados Unidos.
cfd_mx_traslado.cartaporte_tipopermiso_TPAF12,TPAF12,Servicio auxiliar de arrastre en las vías generales de comunicación.
cfd_mx_traslado.cartaporte_tipopermiso_TPAF13,TPAF13,"Servicio auxiliar de servicios de arrastre, arrastre y salvamento, y depósito de vehículos en las vías generales de comunicación."
cfd_mx_traslado.cartaporte_tipopermiso_TPAF14,TPAF14,Servicio de paquetería y mensajería en las vías generales de comunicación.
cfd_mx_traslado.cartaporte_tipopermiso_TPAF15,TPAF15,Transporte especial para el tránsito de grúas industriales con peso máximo de 90 toneladas.
cfd_mx_traslado.cartaporte_tipopermiso_TPAF16,TPAF16,Servicio federal para empresas arrendadoras servicio público federal.
cfd_mx_traslado.cartaporte_tipopermiso_TPAF17,TPAF17,Empresas trasladistas de vehículos nuevos.
cfd_mx_traslado.cartaporte_tipopermiso_TPAF18,TPAF18,Empresas fabricantes o distribuidoras de vehículos nuevos.
cfd_mx_traslado.cartaporte_tipopermiso_TPAF19,TPAF19,Autorización expresa para circular en los caminos y puentes de jurisdicción federal con configuraciones de tractocamión doblemente articulado.
cfd_mx_traslado.cartaporte_tipopermiso_TPAF20,TPAF20,Autotransporte Federal de Carga Especializada de fondos y valores.
cfd_mx_traslado.cartaporte_tipopermiso_TPTM01,TPTM01,Permiso temporal para navegación de cabotaje
cfd_mx_traslado.cartaporte_tipopermiso_TPTA01,TPTA01,Concesión y/o autorización para el servicio regular nacional y/o internacional para empresas mexicanas
cfd_mx_traslado.cartaporte_tipopermiso_TPTA02,TPTA02,Permiso para el servicio aéreo regular de empresas extranjeras
cfd_mx_traslado.cartaporte_tipopermiso_TPTA03,TPTA03,Permiso para el servicio nacional e internacional no regular de fletamento
cfd_mx_traslado.cartaporte_tipopermiso_TPTA04,TPTA04,Permiso para el servicio nacional e internacional no regular de taxi aéreo
cfd_mx_traslado.cartaporte_tipopermiso_TPXX00,TPXX00,Permiso no contemplado en el catálogo.
