id,clave,name,description
cfd_mx_traslado.cartaporte_unidadpeso_Tu,Tu,Contenedor externo,"Tipo de caja de contención que sirve como contenedor de transporte externo, no especificado como equipo de transporte."
cfd_mx_traslado.cartaporte_unidadpeso_X1A,X1A,Tambor de acero,
cfd_mx_traslado.cartaporte_unidadpeso_X1B,X1B,Tambor de aluminio,
cfd_mx_traslado.cartaporte_unidadpeso_X1D,X1D,Tambor contrachapado,
cfd_mx_traslado.cartaporte_unidadpeso_X1F,X1F,Contenedor flexible,Contenedor de empaque de construcción flexible.
cfd_mx_traslado.cartaporte_unidadpeso_X1G,X1G,Tambor de fibra,
cfd_mx_traslado.cartaporte_unidadpeso_X1w,X1w,Tambor de madera,
cfd_mx_traslado.cartaporte_unidadpeso_X2C,X2C,Barril de madera,
cfd_mx_traslado.cartaporte_unidadpeso_X3A,X3A,Bidón de acero,
cfd_mx_traslado.cartaporte_unidadpeso_X3H,X3H,Bidón de plástico,
cfd_mx_traslado.cartaporte_unidadpeso_X43,X43,Bolsa de gran tamaño,Bolsa de tela de plástico o de papel que tiene las dimensiones del pallet sobre el que está construido.
cfd_mx_traslado.cartaporte_unidadpeso_X44,X44,Bolsa de plástico,"Un tipo de bolsa de plástico, normalmente utilizada para envolver piezas promocionales, publicaciones, muestras de productos y / o catálogos."
cfd_mx_traslado.cartaporte_unidadpeso_X4A,X4A,Caja de acero,
cfd_mx_traslado.cartaporte_unidadpeso_X4B,X4B,Caja de aluminio,
cfd_mx_traslado.cartaporte_unidadpeso_X4C,X4C,Caja de  madera natural,
cfd_mx_traslado.cartaporte_unidadpeso_X4D,X4D,Caja de contrachapado,
cfd_mx_traslado.cartaporte_unidadpeso_X4F,X4F,Caja de madera reconstituida,
cfd_mx_traslado.cartaporte_unidadpeso_X4G,X4G,Caja de cartón,
cfd_mx_traslado.cartaporte_unidadpeso_X4H,X4H,Caja de plástico,
cfd_mx_traslado.cartaporte_unidadpeso_X5H,X5H,Bolsa de plástico tejido,
cfd_mx_traslado.cartaporte_unidadpeso_X5L,X5L,Bolsa textil,
cfd_mx_traslado.cartaporte_unidadpeso_X5M,X5M,Bolsa de papel,
cfd_mx_traslado.cartaporte_unidadpeso_X6H,X6H,"Recipiente de plástico, Contenedor compuesto.",
cfd_mx_traslado.cartaporte_unidadpeso_X6P,X6P,"Recipiente de vidrio, Contenedor compuesto.",
cfd_mx_traslado.cartaporte_unidadpeso_X7A,X7A,Estuche para carro,Tipo de contenedor portátil diseñado para almacenar equipo para el transporte en un automóvil.
cfd_mx_traslado.cartaporte_unidadpeso_X7B,X7B,Estuche de madera,Un estuche de madera para retener sustancias o artículos.
cfd_mx_traslado.cartaporte_unidadpeso_X8A,X8A,Pallet de madera,"Plataforma o caja abierta de madera, en la que se conservan las mercancías para facilitar su manejo mecánico durante el transporte y almacenamiento."
cfd_mx_traslado.cartaporte_unidadpeso_X8B,X8B,Cajón de madera,"Un contenedor de madera, en el que se conservan las mercancías para facilitar su manipulación mecánica durante el transporte y almacenamiento."
cfd_mx_traslado.cartaporte_unidadpeso_X8C,X8C,Madera flejada,Piezas sueltas o sin contenedor de madera atadas o envueltas.
cfd_mx_traslado.cartaporte_unidadpeso_XAA,XAA,Contenedor intermedio  para gráneles de plástico rígido,
cfd_mx_traslado.cartaporte_unidadpeso_XAB,XAB,Contenedor de fibra,"Recipiente de contención de fibra, utilizado para retener sustancias o artículos."
cfd_mx_traslado.cartaporte_unidadpeso_XAC,XAC,Contenedor de papel,"Recipiente de contención de papel, para retener sustancias o artículos."
cfd_mx_traslado.cartaporte_unidadpeso_XAD,XAD,Contenedor de madera,"Recipiente de contención de madera, para retener sustancias o artículos."
cfd_mx_traslado.cartaporte_unidadpeso_XAE,XAE,Aerosol,Una unidad de cuenta que define el número de Aerosoles
cfd_mx_traslado.cartaporte_unidadpeso_XAF,XAF,"Pallet modular con collares,  80cms * 60cms",Pallet de tamaño estándar con dimensiones de 80 centímetros por 60 centímetros (cms).
cfd_mx_traslado.cartaporte_unidadpeso_XAG,XAG,Pallet o empaquetado,La carga del pallet se asegura con una película de plástico transparente envuelta alrededor y luego encogido firmemente.
cfd_mx_traslado.cartaporte_unidadpeso_XAH,XAH,"Pallet, 100cms X 110cms",Pallet tamaño estándar con dimensiones de 100 centímetros por 110 centímetros (cms).
cfd_mx_traslado.cartaporte_unidadpeso_XAI,XAI,Contenedor tipo concha,
cfd_mx_traslado.cartaporte_unidadpeso_XAJ,XAJ,Cono,Contenedor utilizado en el transporte de material lineal como el hilo.
cfd_mx_traslado.cartaporte_unidadpeso_XAL,XAL,Esfera,Recipiente de contención esférico para retener sustancias o artículos.
cfd_mx_traslado.cartaporte_unidadpeso_XAM,XAM,Ampolleta no protegida,
cfd_mx_traslado.cartaporte_unidadpeso_XAP,XAP,Ampolleta protegida,
cfd_mx_traslado.cartaporte_unidadpeso_XAT,XAT,Atomizador,
cfd_mx_traslado.cartaporte_unidadpeso_XAV,XAV,Cápsula,
cfd_mx_traslado.cartaporte_unidadpeso_XB4,XB4,Cinturón,Banda utiliza para retener varios artículos juntos.
